Community_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
101.0,2006,0,837,
101.0,2006,1,857,2.3894862604540026
101.0,2006,2,865,0.9334889148191364
101.0,2006,3,910,5.202312138728324
101.0,2007,0,999,9.780219780219781
101.0,2007,1,936,-6.306306306306306
101.0,2007,2,968,3.418803418803419
101.0,2007,3,957,-1.1363636363636365
101.0,2008,0,1005,5.015673981191222
101.0,2008,1,1029,2.3880597014925375
101.0,2008,2,1067,3.69290573372206
101.0,2008,3,996,-6.654170571696345
101.0,2009,0,1175,17.9718875502008
101.0,2009,1,1171,-0.3404255319148936
101.0,2009,2,1100,-6.063193851409053
101.0,2009,3,1105,0.45454545454545453
101.0,2010,0,1083,-1.9909502262443437
101.0,2010,1,1176,8.587257617728532
101.0,2010,2,1119,-4.846938775510204
101.0,2010,3,1202,7.41733690795353
101.0,2011,0,1090,-9.317803660565724
101.0,2011,1,1286,17.98165137614679
101.0,2011,2,1145,-10.964230171073094
101.0,2011,3,2143,87.16157205240175
101.0,2012,0,1598,-25.43163789080728
101.0,2012,1,1529,-4.317897371714643
101.0,2012,2,1701,11.249182472204055
101.0,2012,3,1052,-38.154027042915935
101.0,2013,0,1153,9.600760456273765
101.0,2013,1,1388,20.38161318300087
101.0,2013,2,1447,4.250720461095101
101.0,2013,3,1265,-12.577747062888736
101.0,2014,0,1295,2.371541501976284
101.0,2014,1,1458,12.586872586872586
101.0,2014,2,1447,-0.7544581618655692
101.0,2014,3,1212,-16.240497581202487
101.0,2015,0,1179,-2.722772277227723
101.0,2015,1,1231,4.410517387616624
101.0,2015,2,1276,3.6555645816409426
101.0,2015,3,1361,6.661442006269593
101.0,2016,0,1236,-9.184423218221896
101.0,2016,1,1311,6.067961165048544
101.0,2016,2,1478,12.738367658276125
101.0,2016,3,1305,-11.705006765899864
101.0,2017,0,1143,-12.413793103448276
101.0,2017,1,1256,9.88626421697288
101.0,2017,2,1175,-6.449044585987261
101.0,2017,3,1198,1.9574468085106382
101.0,2018,0,1208,0.8347245409015025
101.0,2018,1,1296,7.28476821192053
101.0,2018,2,1065,-17.824074074074073
101.0,2018,3,1115,4.694835680751173
101.0,2019,0,965,-13.452914798206278
101.0,2019,1,1203,24.663212435233163
101.0,2019,2,1123,-6.6500415627597675
101.0,2019,3,1164,3.6509349955476402
101.0,2020,0,889,-23.625429553264603
101.0,2020,1,301,-66.14173228346458
101.0,2020,2,426,41.52823920265781
101.0,2020,3,559,31.220657276995308
101.0,2021,0,556,-0.5366726296958855
101.0,2021,1,651,17.086330935251798
101.0,2021,2,716,9.984639016897082
101.0,2021,3,756,5.58659217877095
101.0,2022,0,710,-6.084656084656085
101.0,2022,1,882,24.225352112676056
101.0,2022,2,888,0.6802721088435374
101.0,2022,3,959,7.995495495495495
101.0,2023,0,986,2.815432742440042
101.0,2023,1,859,-12.880324543610547
102.0,2006,0,1692,
102.0,2006,1,1787,5.614657210401891
102.0,2006,2,1927,7.834359261331842
102.0,2006,3,1534,-20.394395433316035
102.0,2007,0,1742,13.559322033898304
102.0,2007,1,1943,11.538461538461538
102.0,2007,2,2149,10.602161605764282
102.0,2007,3,2097,-2.419730107026524
102.0,2008,0,2019,-3.719599427753934
102.0,2008,1,2218,9.856364536899456
102.0,2008,2,2124,-4.2380522993688015
102.0,2008,3,2016,-5.084745762711865
102.0,2009,0,2286,13.392857142857142
102.0,2009,1,2323,1.6185476815398077
102.0,2009,2,2294,-1.248385708136031
