Community_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
101.0,2006,3469,
101.0,2007,3860,11.27125972902854
101.0,2008,4097,6.139896373056994
101.0,2009,4551,11.081278984622895
101.0,2010,4580,0.6372225884421007
101.0,2011,5664,23.66812227074236
101.0,2012,5880,3.8135593220338984
101.0,2013,5253,-10.66326530612245
101.0,2014,5412,3.026841804683038
101.0,2015,5047,-6.744271988174427
101.0,2016,5330,5.607291460273429
101.0,2017,4772,-10.46904315196998
101.0,2018,4684,-1.8440905280804691
101.0,2019,4455,-4.888983774551665
101.0,2020,2175,-51.178451178451176
101.0,2021,2679,23.17241379310345
101.0,2022,3439,28.368794326241137
101.0,2023,1845,-46.35068333817971
102.0,2006,6940,
102.0,2007,7931,14.279538904899136
102.0,2008,8377,5.623502710881351
102.0,2009,9004,7.484779754088576
102.0,2010,8665,-3.76499333629498
102.0,2011,7998,-7.697634160415465
102.0,2012,7325,-8.414603650912728
102.0,2013,7409,1.1467576791808873
102.0,2014,6924,-6.546092590093131
102.0,2015,5832,-15.771230502599654
102.0,2016,4818,-17.386831275720166
102.0,2017,4672,-3.0303030303030303
102.0,2018,3633,-22.2388698630137
102.0,2019,3055,-15.909716487751169
102.0,2020,2440,-20.130932896890343
102.0,2021,1915,-21.51639344262295
102.0,2022,2591,35.300261096605745
102.0,2023,1593,-38.517946738710926
103.0,2006,9119,
103.0,2007,9558,4.814124355740761
103.0,2008,8827,-7.648043523749738
103.0,2009,9143,3.579925229409765
103.0,2010,9473,3.6093186043968064
103.0,2011,9692,2.3118336324290087
103.0,2012,9903,2.17705323978539
103.0,2013,9431,-4.766232454811673
103.0,2014,8713,-7.613190541830135
103.0,2015,8285,-4.912200160679444
103.0,2016,7466,-9.885334942667471
103.0,2017,6798,-8.947227431020627
103.0,2018,5827,-14.283612827302147
103.0,2019,5135,-11.875750815170758
103.0,2020,3143,-38.792599805258035
103.0,2021,4124,31.21221762647152
103.0,2022,4881,18.35596508244423
103.0,2023,2426,-50.29707027248514
104.0,2006,12945,
104.0,2007,12493,-3.4916956353804562
104.0,2008,12387,-0.8484751460818057
104.0,2009,12213,-1.4046984742068298
104.0,2010,11392,-6.722345042168182
104.0,2011,10956,-3.8272471910112364
104.0,2012,11169,1.9441401971522454
104.0,2013,13317,19.231802309965083
104.0,2014,13490,1.2990913869490126
104.0,2015,12312,-8.732394366197182
104.0,2016,11101,-9.835932423651721
104.0,2017,9829,-11.458427168723539
104.0,2018,7930,-19.32037847186896
104.0,2019,6250,-21.185372005044137
104.0,2020,3830,-38.72
104.0,2021,5587,45.87467362924282
104.0,2022,5769,3.257562197959549
104.0,2023,3159,-45.24180967238689
105.0,2006,12212,
105.0,2007,13507,10.604323616115297
105.0,2008,13492,-0.1110535278003998
105.0,2009,14865,10.176400830121555
105.0,2010,16340,9.922637066935755
105.0,2011,15652,-4.2105263157894735
105.0,2012,14444,-7.717863531817021
105.0,2013,14457,0.09000276931597895
105.0,2014,14708,1.7361831638652556
105.0,2015,13166,-10.484090290998097
105.0,2016,10740,-18.426249430350904
105.0,2017,9750,-9.217877094972067
105.0,2018,8024,-17.702564102564104
105.0,2019,6188,-22.88135593220339
105.0,2020,3081,-50.21008403361344
105.0,2021,4018,30.41220382992535
105.0,2022,5918,47.28720756595321
105.0,2023,3675,-37.901318012842175
106.0,2006,3329,
106.0,2007,3575,7.389606488434966
106.0,2008,3415,-4.475524475524476
106.0,2009,3857,12.94289897510981
106.0,2010,3914,1.477832512315271
106.0,2011,4459,13.924374041900869
106.0,2012,4361,-2.197802197802198
106.0,2013,4571,4.815409309791333
106.0,2014,4723,3.3253117479763725
106.0,2015,4361,-7.6646199449502435
106.0,2016,3598,-17.49598715890851
106.0,2017,3554,-1.2229016120066705
106.0,2018,3044,-14.350028137310073
106.0,2019,2894,-4.92772667542707
106.0,2020,1936,-33.10297166551486
106.0,2021,2137,10.382231404958677
106.0,2022,2652,24.099204492278893
106.0,2023,1233,-53.50678733031674
107.0,2006,5139,
107.0,2007,6013,17.00719984432769
107.0,2008,5719,-4.889406286379511
