Congressional_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
3.0,2006,2337,
3.0,2007,2610,11.681643132220795
3.0,2008,2274,-12.873563218390805
3.0,2009,2454,7.9155672823219
3.0,2010,2362,-3.7489812550937245
3.0,2011,2430,2.87891617273497
3.0,2012,2525,3.909465020576132
3.0,2013,2690,6.534653465346535
3.0,2014,2821,4.869888475836431
3.0,2015,2447,-13.25771003190358
3.0,2016,2515,2.778912954638333
3.0,2017,2413,-4.055666003976143
3.0,2018,2179,-9.697472026523
3.0,2019,1887,-13.400642496558055
3.0,2020,1427,-24.377318494965554
3.0,2021,1488,4.274702172389628
3.0,2022,1969,32.325268817204304
3.0,2023,1115,-43.37227018791265
5.0,2006,27991,
5.0,2007,29903,6.830767032260369
5.0,2008,30596,2.3174932281042038
5.0,2009,32091,4.88625964178324
5.0,2010,31539,-1.7201084416191454
5.0,2011,30413,-3.5701829480960083
5.0,2012,31382,3.186137506987144
5.0,2013,34950,11.369574915556688
5.0,2014,35724,2.2145922746781115
5.0,2015,30706,-14.046579330422126
5.0,2016,27571,-10.209730997199244
5.0,2017,24735,-10.286170251351056
5.0,2018,22236,-10.103092783505154
5.0,2019,20013,-9.997301672962763
5.0,2020,13281,-33.638135212112125
5.0,2021,13860,4.35961147503953
5.0,2022,16410,18.398268398268396
5.0,2023,10862,-33.80865326020719
6.0,2006,18590,
6.0,2007,18132,-2.463690155997848
6.0,2008,17769,-2.0019854401058903
6.0,2009,18388,3.4835950250436154
6.0,2010,18163,-1.223624102675658
6.0,2011,17646,-2.846446071684193
6.0,2012,17064,-3.2981978918735124
6.0,2013,18062,5.848570089076418
6.0,2014,17404,-3.6430074188904884
6.0,2015,15535,-10.738910595265457
6.0,2016,14127,-9.06340521403283
6.0,2017,12934,-8.444821972110143
6.0,2018,11937,-7.70836554816762
6.0,2019,10928,-8.452710061154393
6.0,2020,7005,-35.898609077598834
6.0,2021,8411,20.071377587437546
6.0,2022,10324,22.744025680656282
6.0,2023,6098,-40.93374660984115
7.0,2006,29361,
7.0,2007,30692,4.53322434521985
7.0,2008,30756,0.20852339371823275
7.0,2009,31258,1.6322018467941215
7.0,2010,31797,1.7243585642075627
7.0,2011,32865,3.3588074346636474
7.0,2012,30952,-5.820781986916172
7.0,2013,30863,-0.2875420005169294
7.0,2014,28333,-8.197518063700873
7.0,2015,23412,-17.368439628701516
7.0,2016,21993,-6.06099436186571
7.0,2017,20819,-5.3380621106715775
7.0,2018,16893,-18.857774148614244
7.0,2019,14490,-14.224826851358552
7.0,2020,9818,-32.242926155969634
7.0,2021,11245,14.53452841719291
7.0,2022,14143,25.771453979546465
7.0,2023,8059,-43.01774729548186
8.0,2006,39012,
8.0,2007,43560,11.657951399569363
8.0,2008,42976,-1.3406795224977044
8.0,2009,48406,12.634959046909902
8.0,2010,47953,-0.9358344006941289
8.0,2011,48158,0.42750192897211853
8.0,2012,46590,-3.2559491673242245
8.0,2013,44772,-3.9021249195106247
8.0,2014,42688,-4.654694898597338
8.0,2015,36975,-13.383152173913043
8.0,2016,33424,-9.603786342123056
8.0,2017,28739,-14.01687410244136
8.0,2018,25112,-12.620480879640905
8.0,2019,21019,-16.298980567059573
8.0,2020,14402,-31.481040962938295
8.0,2021,15218,5.66587973892515
8.0,2022,19106,25.548692338020768
8.0,2023,11792,-38.28116821940752
9.0,2006,25771,
9.0,2007,28333,9.941407007877071
9.0,2008,26406,-6.801256485370416
9.0,2009,28102,6.42278270090131
9.0,2010,29006,3.216852893032524
9.0,2011,27967,-3.5820175136178722
9.0,2012,27049,-3.282440018593342
9.0,2013,26636,-1.5268586639062443
9.0,2014,27295,2.4740952094909145
9.0,2015,23876,-12.526103681993039
9.0,2016,21634,-9.390182610152454
9.0,2017,20054,-7.303318849958399
9.0,2018,17928,-10.60137628403311
9.0,2019,15048,-16.06425702811245
9.0,2020,9947,-33.89819245082403
9.0,2021,10943,10.013069267115714
9.0,2022,12550,14.685186877455909
9.0,2023,7446,-40.669322709163346
10.0,2006,35155,
10.0,2007,36592,4.087612003982364
10.0,2008,36462,-0.35526891123742893
10.0,2009,37942,4.059020349953376
10.0,2010,38809,2.2850666807232094
10.0,2011,39066,0.6622175268623257
10.0,2012,38184,-2.257717708493319
10.0,2013,36752,-3.7502618897967737
10.0,2014,35983,-2.092403134523291
10.0,2015,33320,-7.40071700525248
10.0,2016,32281,-3.118247298919568
10.0,2017,30891,-4.305938477742325
10.0,2018,26180,-15.25039655563109
10.0,2019,22720,-13.216195569136746
10.0,2020,13865,-38.97447183098591
10.0,2021,15229,9.837720879913451
10.0,2022,18588,22.05660253463786
10.0,2023,10814,-41.82268129976329
11.0,2006,15929,
11.0,2007,16352,2.655533931822462
11.0,2008,18962,15.961350293542074
11.0,2009,17976,-5.199873431072672
11.0,2010,18053,0.4283489096573208
11.0,2011,17600,-2.5092782363042154
11.0,2012,16486,-6.329545454545454
11.0,2013,16207,-1.6923450200169843
11.0,2014,17226,6.287406676127599
11.0,2015,14778,-14.211076280041798
11.0,2016,16276,10.136689673839491
11.0,2017,15151,-6.912017694765299
11.0,2018,13305,-12.184014256484721
11.0,2019,11848,-10.950770387072529
11.0,2020,7996,-32.5118163403106
11.0,2021,9328,16.65832916458229
11.0,2022,10734,15.072898799313894
11.0,2023,6439,-40.013042668157254
12.0,2006,36216,
12.0,2007,38179,5.420256240335764
12.0,2008,37033,-3.001650121794704
12.0,2009,38810,4.798423028110064
12.0,2010,38988,0.45864467920639007
12.0,2011,37987,-2.5674566533292293
12.0,2012,37022,-2.540342748835128
12.0,2013,38702,4.5378423639997845
12.0,2014,39060,0.9250167949976745
12.0,2015,35421,-9.316436251920122
12.0,2016,31086,-12.238502583213348
12.0,2017,28918,-6.974200604773853
12.0,2018,23899,-17.355972058925236
12.0,2019,19980,-16.398175655885183
12.0,2020,11530,-42.292292292292295
12.0,2021,15063,30.64180398959237
12.0,2022,18586,23.388435238664275
12.0,2023,10242,-44.89400624125686
13.0,2006,58883,
13.0,2007,65834,11.804765382198596
13.0,2008,65470,-0.5529057933590545
13.0,2009,67201,2.6439590652207117
13.0,2010,65460,-2.5907352569158197
13.0,2011,62203,-4.975557592422854
13.0,2012,59930,-3.654164590132309
13.0,2013,58581,-2.250959452694811
13.0,2014,55156,-5.846605554702037
13.0,2015,46042,-16.524040902168394
13.0,2016,42702,-7.254246123104992
13.0,2017,37842,-11.381199943796544
13.0,2018,30748,-18.746366471116747
13.0,2019,26750,-13.002471705476779
13.0,2020,17344,-35.162616822429904
13.0,2021,19525,12.574953874538744
13.0,2022,22778,16.6606914212548
13.0,2023,13268,-41.75081218719817
14.0,2006,33219,
14.0,2007,36799,10.77696498991541
14.0,2008,35899,-2.4457186336585233
14.0,2009,37073,3.2702860803922116
14.0,2010,35775,-3.5012003344752247
14.0,2011,36432,1.8364779874213837
14.0,2012,33421,-8.264712340799298
14.0,2013,31057,-7.073396965979474
14.0,2014,31793,2.3698361078017838
14.0,2015,27628,-13.10036800553581
14.0,2016,26186,-5.219342695815839
14.0,2017,23985,-8.405254716260597
14.0,2018,20774,-13.387533875338754
14.0,2019,17940,-13.642052565707132
14.0,2020,12823,-28.522853957636567
14.0,2021,13222,3.1115963503080404
14.0,2022,17029,28.792920889426714
14.0,2023,10130,-40.513242116389684
15.0,2006,46292,
15.0,2007,52200,12.762464356692302
15.0,2008,52528,0.6283524904214559
15.0,2009,57641,9.733856229058787
15.0,2010,60572,5.084922190801686
15.0,2011,56488,-6.742389222743182
15.0,2012,51868,-8.178728225463814
15.0,2013,50706,-2.2403023058533202
15.0,2014,50368,-0.6665877805387923
15.0,2015,45708,-9.251905972045742
15.0,2016,41741,-8.679005863306205
15.0,2017,36475,-12.615893246448337
15.0,2018,32522,-10.83755997258396
15.0,2019,29389,-9.633478875837895
15.0,2020,18953,-35.509884650719655
15.0,2021,19734,4.12071967498549
15.0,2022,25168,27.536231884057973
15.0,2023,15030,-40.281309599491415
16.0,2006,3178,
16.0,2007,4044,27.24984266834487
16.0,2008,4398,8.753709198813056
16.0,2009,3974,-9.64074579354252
16.0,2010,3845,-3.246099647710116
16.0,2011,3604,-6.267880364109232
16.0,2012,3807,5.632630410654828
16.0,2013,3831,0.6304176516942475
16.0,2014,3876,1.1746280344557558
16.0,2015,3622,-6.553147574819401
16.0,2016,3328,-8.117062396466041
16.0,2017,3269,-1.7728365384615383
16.0,2018,3060,-6.393392474762924
16.0,2019,2605,-14.869281045751634
16.0,2020,2022,-22.38003838771593
16.0,2021,2241,10.83086053412463
16.0,2022,2389,6.604194556001784
16.0,2023,1275,-46.63038928421933
