Neighborhood,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
Bayside - Little Neck,2006,0,434,
Bayside - Little Neck,2006,1,375,-13.594470046082948
Bayside - Little Neck,2006,2,405,8.0
Bayside - Little Neck,2006,3,424,4.691358024691358
Bayside - Little Neck,2007,0,418,-1.4150943396226416
Bayside - Little Neck,2007,1,351,-16.028708133971293
Bayside - Little Neck,2007,2,396,12.82051282051282
Bayside - Little Neck,2007,3,413,4.292929292929292
Bayside - Little Neck,2008,0,419,1.4527845036319613
Bayside - Little Neck,2008,1,389,-7.159904534606206
Bayside - Little Neck,2008,2,453,16.452442159383033
Bayside - Little Neck,2008,3,432,-4.635761589403973
Bayside - Little Neck,2009,0,436,0.9259259259259258
Bayside - Little Neck,2009,1,440,0.9174311926605505
Bayside - Little Neck,2009,2,330,-25.0
Bayside - Little Neck,2009,3,323,-2.1212121212121215
Bayside - Little Neck,2010,0,403,24.76780185758514
Bayside - Little Neck,2010,1,395,-1.9851116625310175
Bayside - Little Neck,2010,2,381,-3.5443037974683547
Bayside - Little Neck,2010,3,359,-5.774278215223097
Bayside - Little Neck,2011,0,406,13.09192200557103
Bayside - Little Neck,2011,1,341,-16.00985221674877
Bayside - Little Neck,2011,2,284,-16.715542521994134
Bayside - Little Neck,2011,3,314,10.56338028169014
Bayside - Little Neck,2012,0,366,16.560509554140125
Bayside - Little Neck,2012,1,395,7.923497267759563
Bayside - Little Neck,2012,2,367,-7.088607594936709
Bayside - Little Neck,2012,3,313,-14.713896457765669
Bayside - Little Neck,2013,0,397,26.837060702875398
Bayside - Little Neck,2013,1,379,-4.534005037783375
Bayside - Little Neck,2013,2,345,-8.970976253298153
Bayside - Little Neck,2013,3,357,3.4782608695652173
Bayside - Little Neck,2014,0,366,2.5210084033613445
Bayside - Little Neck,2014,1,326,-10.92896174863388
Bayside - Little Neck,2014,2,262,-19.631901840490798
Bayside - Little Neck,2014,3,283,8.015267175572518
Bayside - Little Neck,2015,0,314,10.954063604240282
Bayside - Little Neck,2015,1,321,2.229299363057325
Bayside - Little Neck,2015,2,340,5.919003115264798
Bayside - Little Neck,2015,3,358,5.294117647058823
Bayside - Little Neck,2016,0,338,-5.58659217877095
Bayside - Little Neck,2016,1,363,7.396449704142012
Bayside - Little Neck,2016,2,369,1.6528925619834711
Bayside - Little Neck,2016,3,355,-3.7940379403794036
Bayside - Little Neck,2017,0,339,-4.507042253521127
Bayside - Little Neck,2017,1,330,-2.6548672566371683
Bayside - Little Neck,2017,2,282,-14.545454545454545
Bayside - Little Neck,2017,3,285,1.0638297872340425
Bayside - Little Neck,2018,0,280,-1.7543859649122806
Bayside - Little Neck,2018,1,272,-2.857142857142857
Bayside - Little Neck,2018,2,210,-22.794117647058822
Bayside - Little Neck,2018,3,213,1.4285714285714286
Bayside - Little Neck,2019,0,194,-8.92018779342723
Bayside - Little Neck,2019,1,254,30.927835051546392
Bayside - Little Neck,2019,2,222,-12.598425196850393
Bayside - Little Neck,2019,3,174,-21.62162162162162
Bayside - Little Neck,2020,0,166,-4.597701149425287
Bayside - Little Neck,2020,1,92,-44.57831325301205
Bayside - Little Neck,2020,2,111,20.652173913043477
Bayside - Little Neck,2020,3,189,70.27027027027027
Bayside - Little Neck,2021,0,146,-22.75132275132275
Bayside - Little Neck,2021,1,136,-6.8493150684931505
