Neighborhood,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
Bayside - Little Neck,2006,1638,
Bayside - Little Neck,2007,1578,-3.6630036630036633
Bayside - Little Neck,2008,1693,7.2877059569074785
Bayside - Little Neck,2009,1529,-9.686946249261666
Bayside - Little Neck,2010,1538,0.5886200130804448
Bayside - Little Neck,2011,1345,-12.548764629388817
Bayside - Little Neck,2012,1441,7.137546468401487
Bayside - Little Neck,2013,1478,2.5676613462873004
Bayside - Little Neck,2014,1237,-16.305818673883625
Bayside - Little Neck,2015,1333,7.760711398544867
Bayside - Little Neck,2016,1425,6.90172543135784
Bayside - Little Neck,2017,1236,-13.263157894736842
Bayside - Little Neck,2018,975,-21.11650485436893
Bayside - Little Neck,2019,844,-13.435897435897438
Bayside - Little Neck,2020,558,-33.88625592417062
Bayside - Little Neck,2021,612,9.67741935483871
Bayside - Little Neck,2022,523,-14.54248366013072
Bayside - Little Neck,2023,375,-28.298279158699806
Bedford Stuyvesant - Crown Heights,2006,23194,
Bedford Stuyvesant - Crown Heights,2007,26257,13.20600155212555
Bedford Stuyvesant - Crown Heights,2008,25117,-4.341699356362113
Bedford Stuyvesant - Crown Heights,2009,28323,12.764263247999363
Bedford Stuyvesant - Crown Heights,2010,29002,2.3973449140274687
Bedford Stuyvesant - Crown Heights,2011,30150,3.95834770015861
Bedford Stuyvesant - Crown Heights,2012,27982,-7.190713101160863
Bedford Stuyvesant - Crown Heights,2013,26089,-6.76506325494961
Bedford Stuyvesant - Crown Heights,2014,24704,-5.308750814519529
Bedford Stuyvesant - Crown Heights,2015,20239,-18.073996113989637
Bedford Stuyvesant - Crown Heights,2016,18416,-9.007362023815405
Bedford Stuyvesant - Crown Heights,2017,15762,-14.411381407471763
Bedford Stuyvesant - Crown Heights,2018,13974,-11.343738104301485
Bedford Stuyvesant - Crown Heights,2019,11266,-19.378846429082582
Bedford Stuyvesant - Crown Heights,2020,8136,-27.782709036037634
Bedford Stuyvesant - Crown Heights,2021,7572,-6.932153392330384
Bedford Stuyvesant - Crown Heights,2022,8341,10.155837295298468
Bedford Stuyvesant - Crown Heights,2023,5591,-32.96966790552692
Bensonhurst - Bay Ridge,2006,3141,
Bensonhurst - Bay Ridge,2007,3524,12.193568927093281
Bensonhurst - Bay Ridge,2008,3518,-0.170261066969353
Bensonhurst - Bay Ridge,2009,3702,5.230244457077885
Bensonhurst - Bay Ridge,2010,3809,2.890329551593733
Bensonhurst - Bay Ridge,2011,3340,-12.31294302966658
Bensonhurst - Bay Ridge,2012,3196,-4.311377245508982
Bensonhurst - Bay Ridge,2013,3288,2.8785982478097623
Bensonhurst - Bay Ridge,2014,3677,11.830900243309001
Bensonhurst - Bay Ridge,2015,3243,-11.803100353549087
Bensonhurst - Bay Ridge,2016,3587,10.607462226333642
Bensonhurst - Bay Ridge,2017,3334,-7.053247839420128
Bensonhurst - Bay Ridge,2018,2594,-22.195560887822435
Bensonhurst - Bay Ridge,2019,2523,-2.7370855821125675
Bensonhurst - Bay Ridge,2020,1717,-31.946095917558466
Bensonhurst - Bay Ridge,2021,1817,5.824111822947001
Bensonhurst - Bay Ridge,2022,2287,25.866813428728676
Bensonhurst - Bay Ridge,2023,1391,-39.17796239615217
Borough Park,2006,4303,
Borough Park,2007,4606,7.041598884499186
Borough Park,2008,4222,-8.336951801997394
Borough Park,2009,4030,-4.547607768829939
Borough Park,2010,4174,3.5732009925558312
Borough Park,2011,3886,-6.899856252994729
Borough Park,2012,3925,1.0036026762738035
Borough Park,2013,3894,-0.7898089171974522
Borough Park,2014,4088,4.982023626091422
Borough Park,2015,4203,2.8131115459882583
Borough Park,2016,3773,-10.230787532714727
Borough Park,2017,3571,-5.353829843625761
Borough Park,2018,3031,-15.121814617754131
Borough Park,2019,2878,-5.0478389970306825
Borough Park,2020,1632,-43.29395413481584
Borough Park,2021,2391,46.50735294117647
Borough Park,2022,3037,27.017984107068173
Borough Park,2023,1519,-49.98353638459005
Canarsie - Flatlands,2006,4920,
Canarsie - Flatlands,2007,5333,8.394308943089431
Canarsie - Flatlands,2008,5152,-3.3939621226326646
Canarsie - Flatlands,2009,5233,1.5722049689440993
Canarsie - Flatlands,2010,5286,1.012803363271546
Canarsie - Flatlands,2011,5677,7.396897465001892
Canarsie - Flatlands,2012,5592,-1.4972696846926192
Canarsie - Flatlands,2013,5552,-0.7153075822603719
Canarsie - Flatlands,2014,6049,8.951729106628243
Canarsie - Flatlands,2015,5100,-15.688543560919161
Canarsie - Flatlands,2016,5057,-0.8431372549019607
Canarsie - Flatlands,2017,4634,-8.36464306901325
Canarsie - Flatlands,2018,3824,-17.479499352611136
Canarsie - Flatlands,2019,3229,-15.559623430962343
Canarsie - Flatlands,2020,1662,-48.5289563332301
Canarsie - Flatlands,2021,2579,55.17448856799037
Canarsie - Flatlands,2022,3463,34.27685149282668
Canarsie - Flatlands,2023,1897,-45.220906728270286
Central Harlem - Morningside Heights,2006,15222,
Central Harlem - Morningside Heights,2007,16120,5.899356194980949
Central Harlem - Morningside Heights,2008,17354,7.655086848635236
Central Harlem - Morningside Heights,2009,18430,6.200299642733664
Central Harlem - Morningside Heights,2010,17111,-7.156809549647313
Central Harlem - Morningside Heights,2011,16914,-1.1513061773128397
Central Harlem - Morningside Heights,2012,16355,-3.304954475582358
Central Harlem - Morningside Heights,2013,16215,-0.8560073372057475
Central Harlem - Morningside Heights,2014,15050,-7.184705519580635
Central Harlem - Morningside Heights,2015,12835,-14.717607973421925
Central Harlem - Morningside Heights,2016,12490,-2.687962602259447
Central Harlem - Morningside Heights,2017,9691,-22.40992794235388
Central Harlem - Morningside Heights,2018,8090,-16.52048292229904
Central Harlem - Morningside Heights,2019,6909,-14.598269468479605
Central Harlem - Morningside Heights,2020,4119,-40.382110290924885
Central Harlem - Morningside Heights,2021,5390,30.857004127215344
Central Harlem - Morningside Heights,2022,6370,18.181818181818183
Central Harlem - Morningside Heights,2023,2975,-53.2967032967033
Central Park,2006,0,
Central Park,2007,0,0.0
Central Park,2008,0,0.0
Central Park,2009,0,0.0
Central Park,2010,0,0.0
Central Park,2011,0,0.0
Central Park,2012,0,0.0
Central Park,2013,0,0.0
Central Park,2014,0,0.0
Central Park,2015,0,0.0
Central Park,2016,0,0.0
Central Park,2017,0,0.0
Central Park,2018,0,0.0
Central Park,2019,0,0.0
Central Park,2020,0,0.0
Central Park,2021,0,0.0
Central Park,2022,0,0.0
Central Park,2023,0,0.0
Chelsea - Clinton,2006,22554,
Chelsea - Clinton,2007,23473,4.074665247849605
Chelsea - Clinton,2008,23336,-0.5836492991948196
Chelsea - Clinton,2009,23950,2.6311278711004458
Chelsea - Clinton,2010,24378,1.7870563674321505
Chelsea - Clinton,2011,23171,-4.951185495118549
Chelsea - Clinton,2012,22378,-3.4223814250571833
Chelsea - Clinton,2013,24406,9.062472070783805
Chelsea - Clinton,2014,25202,3.2614930754732443
Chelsea - Clinton,2015,22016,-12.641853821125308
Chelsea - Clinton,2016,18849,-14.384992732558139
Chelsea - Clinton,2017,17391,-7.73515836383893
Chelsea - Clinton,2018,13839,-20.42435742625496
Chelsea - Clinton,2019,10836,-21.699544764795146
Chelsea - Clinton,2020,8321,-23.209671465485417
Chelsea - Clinton,2021,8989,8.027881264271121
Chelsea - Clinton,2022,10906,21.326065190788743
Chelsea - Clinton,2023,6244,-42.747111681643126
