Police_Precinct,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
1.0,2006,0,1152,
1.0,2006,1,1117,-3.038194444444444
1.0,2006,2,1170,4.744852282900626
1.0,2006,3,1069,-8.632478632478632
1.0,2007,0,1293,20.95416276894294
1.0,2007,1,1210,-6.419180201082754
1.0,2007,2,1337,10.49586776859504
1.0,2007,3,1350,0.9723261032161555
1.0,2008,0,1325,-1.8518518518518516
1.0,2008,1,1428,7.773584905660377
1.0,2008,2,1415,-0.9103641456582634
1.0,2008,3,1338,-5.4416961130742045
1.0,2009,0,1465,9.491778774289985
1.0,2009,1,1481,1.0921501706484642
1.0,2009,2,1496,1.012829169480081
1.0,2009,3,1319,-11.831550802139038
1.0,2010,0,1338,1.4404852160727823
1.0,2010,1,1520,13.602391629297458
1.0,2010,2,1396,-8.157894736842106
1.0,2010,3,1387,-0.6446991404011462
1.0,2011,0,1211,-12.689257390050468
1.0,2011,1,1384,14.285714285714285
1.0,2011,2,1284,-7.225433526011561
1.0,2011,3,2154,67.7570093457944
1.0,2012,0,1536,-28.690807799442897
1.0,2012,1,1674,8.984375
1.0,2012,2,1808,8.004778972520908
1.0,2012,3,1108,-38.716814159292035
1.0,2013,0,1157,4.422382671480144
1.0,2013,1,1391,20.224719101123593
1.0,2013,2,1515,8.914450035945363
1.0,2013,3,1212,-20.0
1.0,2014,0,1064,-12.211221122112212
1.0,2014,1,1276,19.924812030075188
1.0,2014,2,1331,4.310344827586207
1.0,2014,3,1082,-18.707738542449288
1.0,2015,0,1049,-3.0499075785582255
1.0,2015,1,1045,-0.3813155386081983
1.0,2015,2,1089,4.2105263157894735
1.0,2015,3,1131,3.8567493112947657
1.0,2016,0,1058,-6.45446507515473
1.0,2016,1,1079,1.9848771266540641
1.0,2016,2,964,-10.658016682113068
1.0,2016,3,1039,7.780082987551867
1.0,2017,0,890,-14.340712223291627
1.0,2017,1,874,-1.7977528089887642
1.0,2017,2,788,-9.839816933638444
1.0,2017,3,839,6.472081218274112
1.0,2018,0,775,-7.628128724672228
1.0,2018,1,827,6.709677419354838
1.0,2018,2,705,-14.752116082224909
1.0,2018,3,747,5.957446808510639
1.0,2019,0,655,-12.315930388219545
1.0,2019,1,791,20.763358778625953
1.0,2019,2,720,-8.97597977243995
1.0,2019,3,750,4.166666666666666
1.0,2020,0,577,-23.066666666666666
1.0,2020,1,396,-31.369150779896017
1.0,2020,2,248,-37.37373737373738
1.0,2020,3,329,32.66129032258064
1.0,2021,0,353,7.29483282674772
1.0,2021,1,487,37.960339943342774
1.0,2021,2,452,-7.186858316221765
1.0,2021,3,545,20.575221238938052
1.0,2022,0,488,-10.458715596330276
1.0,2022,1,608,24.59016393442623
1.0,2022,2,581,-4.440789473684211
1.0,2022,3,679,16.867469879518072
1.0,2023,0,631,-7.069219440353461
1.0,2023,1,556,-11.885895404120443
5.0,2006,0,1184,
5.0,2006,1,1167,-1.435810810810811
5.0,2006,2,1179,1.0282776349614395
5.0,2006,3,1028,-12.807463952502122
5.0,2007,0,1044,1.556420233463035
5.0,2007,1,1309,25.383141762452105
5.0,2007,2,1124,-14.132925897631779
5.0,2007,3,1172,4.270462633451958
5.0,2008,0,1225,4.522184300341297
5.0,2008,1,1287,5.061224489795919
5.0,2008,2,1189,-7.614607614607614
5.0,2008,3,1119,-5.887300252312868
5.0,2009,0,1265,13.047363717605004
5.0,2009,1,1319,4.2687747035573125
5.0,2009,2,1322,0.22744503411675512
5.0,2009,3,1242,-6.051437216338881
5.0,2010,0,1308,5.314009661835748
5.0,2010,1,1391,6.345565749235474
5.0,2010,2,1131,-18.69158878504673
5.0,2010,3,1386,22.546419098143236
5.0,2011,0,1138,-17.893217893217894
5.0,2011,1,1321,16.080843585237258
5.0,2011,2,1247,-5.601816805450417
5.0,2011,3,1333,6.896551724137931
5.0,2012,0,1320,-0.9752438109527383
5.0,2012,1,1333,0.9848484848484848
5.0,2012,2,1389,4.201050262565642
5.0,2012,3,1078,-22.390208783297336
5.0,2013,0,1246,15.584415584415584
5.0,2013,1,1537,23.35473515248796
5.0,2013,2,1491,-2.992843201040989
5.0,2013,3,1207,-19.047619047619047
5.0,2014,0,1362,12.84175642087821
5.0,2014,1,1578,15.859030837004406
5.0,2014,2,1421,-9.949302915082383
5.0,2014,3,1234,-13.159746657283602
5.0,2015,0,1027,-16.774716369529983
5.0,2015,1,1305,27.069133398247324
5.0,2015,2,1442,10.49808429118774
5.0,2015,3,1220,-15.39528432732316
5.0,2016,0,1249,2.3770491803278686
5.0,2016,1,1315,5.2842273819055245
5.0,2016,2,1336,1.596958174904943
5.0,2016,3,1015,-24.02694610778443
5.0,2017,0,1119,10.246305418719212
5.0,2017,1,1221,9.115281501340483
5.0,2017,2,1197,-1.9656019656019657
5.0,2017,3,1165,-2.6733500417710943
5.0,2018,0,1178,1.1158798283261802
5.0,2018,1,1159,-1.6129032258064515
5.0,2018,2,981,-15.35806729939603
5.0,2018,3,916,-6.625891946992865
5.0,2019,0,921,0.5458515283842794
5.0,2019,1,948,2.9315960912052117
5.0,2019,2,963,1.5822784810126582
5.0,2019,3,954,-0.9345794392523363
5.0,2020,0,804,-15.723270440251572
5.0,2020,1,322,-59.950248756218905
5.0,2020,2,389,20.80745341614907
5.0,2020,3,520,33.67609254498715
5.0,2021,0,504,-3.076923076923077
5.0,2021,1,497,-1.3888888888888888
5.0,2021,2,681,37.02213279678068
5.0,2021,3,640,-6.020558002936858
5.0,2022,0,607,-5.15625
5.0,2022,1,705,16.14497528830313
5.0,2022,2,786,11.48936170212766
5.0,2022,3,767,-2.4173027989821882
5.0,2023,0,822,7.170795306388526
5.0,2023,1,771,-6.204379562043796
6.0,2006,0,842,
6.0,2006,1,994,18.052256532066508
6.0,2006,2,1028,3.420523138832998
6.0,2006,3,861,-16.245136186770427
6.0,2007,0,938,8.94308943089431
6.0,2007,1,1071,14.17910447761194
6.0,2007,2,1233,15.126050420168067
6.0,2007,3,1076,-12.73317112733171
6.0,2008,0,961,-10.687732342007434
6.0,2008,1,1129,17.48178980228928
6.0,2008,2,1148,1.6829052258635961
6.0,2008,3,1049,-8.623693379790941
6.0,2009,0,1171,11.630123927550047
6.0,2009,1,1235,5.465414175918019
6.0,2009,2,1139,-7.773279352226721
6.0,2009,3,1087,-4.56540825285338
6.0,2010,0,1068,-1.7479300827966882
6.0,2010,1,1127,5.52434456928839
6.0,2010,2,1076,-4.525288376220053
6.0,2010,3,950,-11.71003717472119
6.0,2011,0,886,-6.7368421052631575
6.0,2011,1,1222,37.92325056433409
6.0,2011,2,1155,-5.482815057283143
6.0,2011,3,1155,0.0
6.0,2012,0,1086,-5.974025974025974
6.0,2012,1,951,-12.430939226519337
6.0,2012,2,938,-1.3669821240799158
6.0,2012,3,794,-15.351812366737741
6.0,2013,0,981,23.551637279596978
6.0,2013,1,1010,2.9561671763506627
6.0,2013,2,977,-3.2673267326732676
6.0,2013,3,980,0.3070624360286591
6.0,2014,0,973,-0.7142857142857143
6.0,2014,1,1083,11.30524152106886
