State_Assembly_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
23.0,2006,3496,
23.0,2007,3627,3.747139588100686
23.0,2008,3516,-3.0603804797353185
23.0,2009,3826,8.816837315130831
23.0,2010,4054,5.9592263460533195
23.0,2011,3778,-6.808090774543661
23.0,2012,3862,2.2233986236103758
23.0,2013,4067,5.308130502330399
23.0,2014,4213,3.589869682812884
23.0,2015,3739,-11.250890102065036
23.0,2016,3521,-5.830435945439957
23.0,2017,3237,-8.065890372053394
23.0,2018,3035,-6.240345999382144
23.0,2019,2697,-11.13673805601318
23.0,2020,1789,-33.66703744901743
23.0,2021,1781,-0.4471771939631079
23.0,2022,2218,24.536777091521618
23.0,2023,1223,-44.860234445446345
24.0,2006,4064,
24.0,2007,4548,11.909448818897637
24.0,2008,4297,-5.518909410729991
24.0,2009,3911,-8.983011403304632
24.0,2010,3990,2.019943748401943
24.0,2011,3400,-14.786967418546364
24.0,2012,3473,2.1470588235294117
24.0,2013,4015,15.606104232651886
24.0,2014,3600,-10.336239103362391
24.0,2015,3131,-13.027777777777777
24.0,2016,3383,8.048546790162888
24.0,2017,3270,-3.3402305645876442
24.0,2018,2708,-17.186544342507645
24.0,2019,2170,-19.86706056129985
24.0,2020,1699,-21.70506912442396
24.0,2021,1906,12.183637433784579
24.0,2022,2384,25.078698845750264
24.0,2023,1328,-44.29530201342282
25.0,2006,1762,
25.0,2007,1693,-3.916004540295119
25.0,2008,1769,4.48907265209687
25.0,2009,1857,4.9745618993781795
25.0,2010,1818,-2.10016155088853
25.0,2011,1706,-6.16061606160616
25.0,2012,1760,3.1652989449003512
25.0,2013,1877,6.647727272727273
25.0,2014,1638,-12.733084709643046
25.0,2015,1637,-0.06105006105006105
25.0,2016,1326,-18.998167379352473
25.0,2017,1360,2.564102564102564
25.0,2018,1108,-18.529411764705884
25.0,2019,1131,2.0758122743682312
25.0,2020,638,-43.58974358974359
25.0,2021,767,20.219435736677116
25.0,2022,962,25.423728813559322
25.0,2023,605,-37.11018711018711
26.0,2006,1300,
26.0,2007,1411,8.538461538461538
26.0,2008,1425,0.9922041105598866
26.0,2009,1393,-2.245614035087719
26.0,2010,1396,0.21536252692031585
26.0,2011,1271,-8.954154727793696
26.0,2012,1254,-1.3375295043273014
26.0,2013,1201,-4.226475279106858
26.0,2014,1132,-5.745212323064113
26.0,2015,1046,-7.597173144876325
26.0,2016,1107,5.831739961759083
26.0,2017,1058,-4.426377597109305
26.0,2018,734,-30.623818525519848
26.0,2019,622,-15.258855585831062
26.0,2020,370,-40.51446945337621
26.0,2021,455,22.972972972972975
26.0,2022,517,13.626373626373626
26.0,2023,338,-34.622823984526114
27.0,2006,2661,
27.0,2007,2399,-9.845922585494176
27.0,2008,2641,10.087536473530639
27.0,2009,2925,10.753502461188944
27.0,2010,2865,-2.051282051282051
27.0,2011,2931,2.3036649214659684
