State_Senate_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
10.0,2006,11421,
10.0,2007,12533,9.736450398388932
10.0,2008,12633,0.7978935609989628
10.0,2009,13556,7.3062613789282045
10.0,2010,12033,-11.234877544998524
10.0,2011,11828,-1.7036483005069392
10.0,2012,12268,3.7199864727764624
10.0,2013,13744,12.031300945549397
10.0,2014,15199,10.586437718277066
10.0,2015,12253,-19.38285413514047
10.0,2016,11520,-5.982208438749694
10.0,2017,10853,-5.789930555555555
10.0,2018,10605,-2.2850824656776925
10.0,2019,9471,-10.693069306930694
10.0,2020,5961,-37.060500475134624
10.0,2021,5910,-0.8555611474584801
10.0,2022,6583,11.387478849407785
10.0,2023,4093,-37.82469998480936
11.0,2006,5821,
11.0,2007,5362,-7.8852430853805195
11.0,2008,4970,-7.310704960835509
11.0,2009,5319,7.022132796780683
11.0,2010,5365,0.8648242150780222
11.0,2011,5491,2.348555452003728
11.0,2012,5490,-0.01821161901293025
11.0,2013,6391,16.41165755919854
11.0,2014,6501,1.7211703958691909
11.0,2015,5433,-16.428241808952468
11.0,2016,4891,-9.976072151665747
11.0,2017,4710,-3.7006747086485383
11.0,2018,3947,-16.199575371549894
11.0,2019,3424,-13.250570053204966
11.0,2020,2548,-25.58411214953271
11.0,2021,2669,4.748822605965463
11.0,2022,3550,33.00861745972274
11.0,2023,2085,-41.267605633802816
12.0,2006,7889,
12.0,2007,8371,6.109773101787299
12.0,2008,7761,-7.287062477601243
12.0,2009,8091,4.252029377657519
12.0,2010,8649,6.896551724137931
12.0,2011,8015,-7.330327205457278
12.0,2012,7360,-8.172177167810355
12.0,2013,7783,5.747282608695652
12.0,2014,7946,2.0943081074135934
12.0,2015,6605,-16.876415806695192
12.0,2016,5971,-9.598788796366389
12.0,2017,5253,-12.02478646792832
12.0,2018,4894,-6.834189986674281
12.0,2019,4331,-11.503882304863097
12.0,2020,2913,-32.740706534287696
12.0,2021,3448,18.365945760384484
12.0,2022,4264,23.665893271461716
