Zipcode,Year,Population,Economy: Median worker earnings,Economy: Percent below poverty level,Economy: Unemployment rate,Race: White,Race: Black or African American,Race: American Indian and Alaska Native,Race: Asian,Race: Native Hawaiian and Other Pacific Islander,Race: Other,Race: Two or more,Ethnicity: Hispanic or Latino,Ethnicity: Not Hispanic or Latino,Immigration: Native-born,Immigration: Native-born – in the US,"Immigration: Native-born – in Puerto Rico, US islands, or abroad to US parents",Immigration: Foreign-born,Immigration: Foreign-born – Naturalized citizen,Immigration: Foreign-born: Not US citizen,Immigration: Foreign-born – Europe,Immigration: Foreign-born – Asia,Immigration: Foreign-born – Africa,Immigration: Foreign-born – Oceania,Immigration: Foreign-born – Latin America,Immigration: Foreign-born – North America,Language: Population 5+ years,Language: English only,Language: Not English,Language: Not English – Speaks English 'less than well',Language: Spanish,Language: Spanish – Speaks English 'less than well',Language: Other Indo-European,Language: Other Indo-European – Speaks English 'less than well',Language: Asian and Pacific Islander,Language: Asian and Pacific Islander – Speaks English 'less than well',Language: Other,Language: Other – Speaks English 'less than well'
10463,2011,68345,35539,16.2,9.8,29924,9856,216,2540,12,22532,3265,33078,35267,46715,42517,4198,21630,12292,9338,4165,2523,905,23,13933,81,63733,29304,34429,14144,26997,11280,4441,1718,1340,688,1651,458
10471,2011,22222,49987,7.1,6.7,16085,1842,0,1571,0,2250,474,4371,17851,17470,16664,806,4752,2923,1829,1740,1436,149,18,1349,60,20960,13954,7006,2132,3638,732,1955,777,1030,537,383,86
10466,2011,72997,31003,18.9,10.6,6344,54920,363,1899,0,8079,1392,15286,57711,43800,39384,4416,29197,17329,11868,826,819,1557,0,25955,40,67478,50547,16931,5062,12425,3785,2628,673,695,249,1183,355
10469,2011,71245,36295,12.0,15.6,14848,39563,413,3145,0,11147,2129,17360,53885,45028,40819,4209,26217,16178,10039,3014,1980,1719,21,19480,3,66812,45487,21325,6808,13032,3897,5157,1752,1434,615,1702,544
10470,2011,14952,39454,11.9,9.6,6849,5137,42,530,0,2018,376,2507,12445,9677,9266,411,5275,3110,2165,1554,365,412,0,2944,0,13938,10755,3183,1214,2046,608,528,211,258,165,351,230
10475,2011,41377,39074,11.8,10.2,9261,23867,307,288,0,6255,1399,13299,28078,33006,30153,2853,8371,5796,2575,992,327,967,0,6085,0,39781,27929,11852,3619,9445,2640,1352,725,160,59,895,195
10458,2011,73436,19181,38.2,12.5,14793,16266,313,2273,18,37290,2483,48048,25388,46617,40849,5768,26819,9926,16893,2061,1694,2799,0,20234,31,67481,21247,46234,21068,38403,17239,3795,2252,1361,748,2675,829
10467,2011,93833,29474,26.1,13.1,18516,36051,531,5111,32,29765,3827,41902,51931,60035,53736,6299,33798,15193,18605,4338,4017,1996,36,23346,65,86379,41239,45140,21152,33669,14726,7206,4212,1962,1228,2303,986
10468,2011,73738,20663,32.0,15.3,10248,17835,194,2945,46,40270,2200,50860,22878,41835,36178,5657,31903,11831,20072,803,2252,2716,0,26097,35,68587,18735,49852,21081,43045,18745,2067,771,1810,1003,2930,562
10461,2011,51767,37128,15.0,10.4,26907,3644,114,6078,73,12854,2097,18933,32834,38084,35251,2833,13683,6932,6751,3991,4512,123,8,5023,26,48708,24491,24217,8207,13158,3542,7192,2892,3276,1614,591,159
10462,2011,75407,32498,20.7,7.4,17823,20514,296,9001,7,25744,2022,35100,40307,49928,43861,6067,25479,13134,12345,2708,7028,2191,0,13552,0,69358,29541,39817,14887,26520,8848,7501,3248,3742,2018,2054,773
10464,2011,4255,50572,4.7,2.5,3602,102,39,47,0,433,32,851,3404,3784,3678,106,471,312,159,209,71,0,0,147,44,4022,3271,751,289,399,115,273,149,39,25,40,0
10465,2011,42688,42294,11.6,7.9,28721,3897,211,1052,0,7812,995,14081,28607,36726,34274,2452,5962,4020,1942,2376,553,187,0,2781,65,40528,25903,14625,4515,10207,2575,3607,1579,564,299,247,62
10472,2011,66041,21975,34.1,12.2,9690,20141,590,3841,0,25704,6075,42900,23141,41090,33922,7168,24951,8561,16390,224,2682,1304,0,20731,10,60295,19918,40377,21789,35202,18909,2678,1439,958,611,1539,830
10473,2011,57444,32615,20.7,7.5,8764,22645,125,972,0,23553,1385,34458,22986,45984,38646,7338,11460,6552,4908,75,602,1653,0,9121,9,53984,24817,29167,7877,26503,7262,504,90,386,194,1774,331
10453,2011,79376,17686,36.9,21.5,7920,27827,453,1265,43,38794,3074,52224,27152,47233,41480,5753,32143,11305,20838,173,771,3646,0,27553,0,72271,23626,48645,24476,43376,22741,1600,403,92,0,3577,1332
10457,2011,69144,19834,39.7,15.5,8881,27105,322,1049,36,29949,1802,44609,24535,45530,39408,6122,23614,8541,15073,358,586,3129,0,19541,0,62265,21539,40726,18145,36426,16006,1319,678,288,128,2693,1333
10460,2011,55462,21318,36.0,12.8,7426,14935,188,1307,0,30132,1474,39160,16302,37965,31967,5998,17497,6788,10709,133,690,1778,6,14865,25,50838,16743,34095,15704,30756,14145,1137,447,455,297,1747,815
10451,2011,43550,20008,36.6,15.4,8303,20709,758,899,0,11546,1335,24820,18730,30303,25986,4317,13247,5258,7989,252,900,1824,10,10261,0,40503,15414,25089,11716,21435,10265,1196,443,649,375,1809,633
10452,2011,75150,20139,36.6,14.5,11281,25158,594,1058,0,35199,1860,51410,23740,42867,37196,5671,32283,11642,20641,175,856,5051,19,26182,0,68755,17704,51051,27650,43886,24276,3004,1239,296,138,3865,1997
10456,2011,86121,19787,39.4,15.8,8118,37879,443,835,50,36680,2116,48692,37429,57962,50258,7704,28159,9847,18312,178,804,4648,0,22519,10,79853,30749,49104,24000,41481,19944,3384,1919,505,264,3734,1873
10454,2011,38523,17688,43.2,16.2,14403,13520,187,405,0,9324,684,27732,10791,27690,22338,5352,10833,3205,7628,133,210,346,0,10144,0,34959,11319,23640,14360,22883,13849,369,237,43,43,345,231
10455,2011,37699,20397,36.3,16.4,9288,12490,133,32,15,14933,808,28893,8806,25668,20365,5303,12031,3445,8586,56,70,424,0,11481,0,34165,9885,24280,11866,23293,11462,521,180,24,9,442,215
10459,2011,45261,21108,42.2,14.8,6998,14121,286,343,36,21424,2053,31382,13879,33274,27906,5368,11987,4331,7656,72,98,1405,0,10412,0,41094,13490,27604,13123,25233,12257,763,236,256,105,1352,525
10474,2011,12466,17165,47.2,15.9,4771,3923,25,94,0,3200,453,9070,3396,9159,7591,1568,3307,924,2383,7,64,321,0,2915,0,11280,3812,7468,4281,7043,3999,106,45,57,45,262,192
11211,2011,90522,32068,33.2,6.5,77004,3910,232,2987,87,4778,1524,24651,65871,72677,66963,5714,17845,8870,8975,5672,2969,98,169,8436,501,81504,29082,52422,21497,21983,10057,26353,9730,2193,963,1893,747
11222,2011,33482,40690,12.0,5.7,28754,672,293,1910,0,1263,590,4467,29015,20969,20141,828,12513,5635,6878,8963,1197,53,68,2039,193,32403,17172,15231,8165,3703,1713,10729,6029,615,372,184,51
11249,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11201,2011,51356,61014,13.7,7.2,34218,7258,172,4470,0,3004,2234,6447,44909,41645,39905,1740,9711,4980,4731,3133,3441,266,103,2375,393,48304,35459,12845,3842,5061,1644,4419,740,2678,1278,687,180
11205,2011,38997,31132,34.3,10.3,19004,12943,41,1774,32,3746,1457,8809,30188,31874,30295,1579,7123,3090,4033,950,1284,287,175,4237,190,35184,21403,13781,5707,6854,3373,5574,1752,799,347,554,235
11215,2011,65477,53632,8.0,6.3,48921,3604,148,4244,0,6190,2370,11629,53848,54604,51961,2643,10873,6035,4838,3043,2730,372,217,3852,659,60963,45980,14983,5088,8262,2938,4026,975,2075,986,620,189
11217,2011,38992,50991,13.9,8.2,20643,9046,278,2489,0,4817,1719,8328,30664,31280,29195,2085,7712,3621,4091,1608,1684,406,168,3616,230,36891,25727,11164,3758,6688,2588,2385,432,1380,430,711,308
