City_Council_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
1.0,2006,0,3130,
1.0,2006,1,3099,-0.9904153354632588
1.0,2006,2,3220,3.904485317844466
1.0,2006,3,2948,-8.4472049689441
1.0,2007,0,3225,9.396200814111262
1.0,2007,1,3419,6.015503875968992
1.0,2007,2,3527,3.1588183679438435
1.0,2007,3,3410,-3.3172667989793028
1.0,2008,0,3383,-0.7917888563049853
1.0,2008,1,3504,3.5767070647354418
1.0,2008,2,3382,-3.4817351598173514
1.0,2008,3,3289,-2.749852158486103
1.0,2009,0,3658,11.219215567041655
1.0,2009,1,3619,-1.0661563696008747
1.0,2009,2,3586,-0.911854103343465
1.0,2009,3,3347,-6.664807585052984
1.0,2010,0,3532,5.527337914550343
1.0,2010,1,3766,6.625141562853908
1.0,2010,2,3213,-14.684014869888475
1.0,2010,3,3539,10.14628073451603
1.0,2011,0,3118,-11.896015823679006
1.0,2011,1,3682,18.088518280949327
1.0,2011,2,3365,-8.609451385116785
1.0,2011,3,4393,30.549777117384846
1.0,2012,0,3822,-12.997951286137036
1.0,2012,1,4048,5.913134484563056
1.0,2012,2,4162,2.816205533596838
1.0,2012,3,2929,-29.625180201826044
1.0,2013,0,3338,13.96381017412086
1.0,2013,1,3769,12.911923307369683
1.0,2013,2,3788,0.5041124966834705
1.0,2013,3,3209,-15.285110876451954
1.0,2014,0,3284,2.3371766905578064
1.0,2014,1,3686,12.241169305724727
1.0,2014,2,3589,-2.631578947368421
1.0,2014,3,2972,-17.19141822234606
1.0,2015,0,2803,-5.686406460296097
1.0,2015,1,3152,12.450945415626116
1.0,2015,2,3480,10.406091370558377
1.0,2015,3,3252,-6.551724137931035
1.0,2016,0,3099,-4.70479704797048
1.0,2016,1,3103,0.12907389480477574
1.0,2016,2,3038,-2.0947470190138575
1.0,2016,3,2778,-8.558262014483214
1.0,2017,0,2796,0.6479481641468683
1.0,2017,1,2832,1.2875536480686696
1.0,2017,2,2696,-4.80225988700565
1.0,2017,3,2640,-2.0771513353115725
1.0,2018,0,2669,1.0984848484848484
1.0,2018,1,2607,-2.3229674035219183
1.0,2018,2,2200,-15.611814345991561
1.0,2018,3,2203,0.13636363636363638
1.0,2019,0,2169,-1.5433499773036767
1.0,2019,1,2242,3.3656062701705856
1.0,2019,2,2267,1.1150758251561106
1.0,2019,3,2145,-5.381561535068372
1.0,2020,0,1821,-15.104895104895105
1.0,2020,1,1119,-38.5502471169687
1.0,2020,2,885,-20.91152815013405
1.0,2020,3,1135,28.24858757062147
1.0,2021,0,1217,7.224669603524229
1.0,2021,1,1368,12.407559572719803
1.0,2021,2,1476,7.894736842105263
1.0,2021,3,1618,9.620596205962059
1.0,2022,0,1593,-1.5451174289245984
1.0,2022,1,1798,12.868801004394225
1.0,2022,2,1962,9.121245828698555
1.0,2022,3,1988,1.325178389398573
1.0,2023,0,1999,0.5533199195171026
1.0,2023,1,1913,-4.302151075537769
