City_Council_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
1.0,2006,12397,
1.0,2007,13581,9.550697749455514
1.0,2008,13558,-0.16935424490096457
1.0,2009,14210,4.80896887446526
1.0,2010,14050,-1.1259676284306825
1.0,2011,14558,3.615658362989324
1.0,2012,14961,2.7682373952466
1.0,2013,14104,-5.728226722812646
1.0,2014,13531,-4.062677254679524
1.0,2015,12687,-6.237528637942502
1.0,2016,12018,-5.273114211397494
1.0,2017,10964,-8.770178066233983
1.0,2018,9679,-11.720175118569864
1.0,2019,8823,-8.843888831490856
1.0,2020,4960,-43.78329366428652
1.0,2021,5679,14.495967741935484
1.0,2022,7341,29.265715795034335
1.0,2023,3912,-46.710257458111975
2.0,2006,7822,
2.0,2007,8467,8.2459728969573
2.0,2008,8434,-0.3897484351009803
2.0,2009,9143,8.406450082997392
2.0,2010,9925,8.552991359510008
2.0,2011,11007,10.90176322418136
2.0,2012,10652,-3.2252203143454166
2.0,2013,10181,-4.421704844160721
2.0,2014,9518,-6.512130439053138
2.0,2015,9387,-1.376339567135953
2.0,2016,7759,-17.34313412165761
2.0,2017,6939,-10.568372212914037
2.0,2018,5639,-18.734687995388384
2.0,2019,4710,-16.47455222557191
2.0,2020,2981,-36.70912951167728
2.0,2021,3650,22.442133512244215
2.0,2022,4366,19.616438356164384
2.0,2023,2194,-49.748053137883645
3.0,2006,21611,
3.0,2007,21644,0.15270001388181945
3.0,2008,22107,2.139160968397708
3.0,2009,22970,3.9037408965486047
3.0,2010,21915,-4.592947322594688
3.0,2011,21172,-3.390371891398585
3.0,2012,20842,-1.558662384281126
3.0,2013,23704,13.731887534785528
3.0,2014,24171,1.9701316233547082
3.0,2015,21195,-12.312275040337594
3.0,2016,18220,-14.036329322953527
3.0,2017,16365,-10.181119648737651
3.0,2018,13731,-16.095325389550872
3.0,2019,11056,-19.481465297502
3.0,2020,6764,-38.8205499276411
3.0,2021,9124,34.89059727971615
3.0,2022,10634,16.549758877685225
3.0,2023,6193,-41.76227195787098
4.0,2006,8500,
4.0,2007,9398,10.564705882352941
4.0,2008,8517,-9.374334964886145
4.0,2009,9310,9.310790184337208
4.0,2010,10312,10.762620837808807
4.0,2011,9535,-7.534910783553142
4.0,2012,8698,-8.778185631882538
4.0,2013,8518,-2.0694412508622673
4.0,2014,8686,1.9722939657196525
4.0,2015,7687,-11.501266405710338
4.0,2016,7075,-7.961493430467022
4.0,2017,7050,-0.35335689045936397
4.0,2018,5768,-18.184397163120565
4.0,2019,5108,-11.44244105409154
4.0,2020,2912,-42.991386061080654
4.0,2021,3080,5.769230769230769
4.0,2022,4418,43.44155844155844
4.0,2023,2316,-47.57808963331824
5.0,2006,1623,
5.0,2007,1792,10.412815773259396
5.0,2008,1477,-17.578125
5.0,2009,1421,-3.7914691943127963
5.0,2010,1477,3.9408866995073892
5.0,2011,1538,4.129993229519296
5.0,2012,1639,6.566970091027308
5.0,2013,1438,-12.263575350823674
5.0,2014,1387,-3.546592489568846
5.0,2015,1250,-9.877433309300649
5.0,2016,1356,8.48
5.0,2017,1323,-2.433628318584071
5.0,2018,911,-31.141345427059715
5.0,2019,958,5.159165751920966
5.0,2020,614,-35.908141962421716
5.0,2021,659,7.32899022801303
5.0,2022,834,26.555386949924127
5.0,2023,443,-46.882494004796165
6.0,2006,4229,
6.0,2007,4869,15.133601324190115
6.0,2008,4832,-0.7599096323680428
6.0,2009,5024,3.9735099337748347
6.0,2010,4924,-1.9904458598726114
6.0,2011,4465,-9.321689683184402
6.0,2012,4070,-8.846584546472565
6.0,2013,3960,-2.7027027027027026
6.0,2014,4084,3.1313131313131315
6.0,2015,3696,-9.500489715964742
6.0,2016,3145,-14.90800865800866
6.0,2017,3072,-2.3211446740858506
6.0,2018,2598,-15.4296875
6.0,2019,2100,-19.168591224018474
6.0,2020,1319,-37.19047619047619
6.0,2021,1590,20.54586808188021
6.0,2022,1744,9.685534591194969
6.0,2023,897,-48.56651376146789
7.0,2006,9345,
7.0,2007,10501,12.370251471375067
7.0,2008,9658,-8.027806875535664
7.0,2009,11016,14.060882170221578
7.0,2010,9656,-12.345679012345679
7.0,2011,9569,-0.9009942004971003
7.0,2012,9618,0.5120702267739575
7.0,2013,9887,2.796839259721356
7.0,2014,8304,-16.01092343481339
7.0,2015,7123,-14.222061657032755
7.0,2016,6607,-7.244138705601573
7.0,2017,5365,-18.798244286362948
