Congressional_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
3.0,2006,0,607,
3.0,2006,1,619,1.9769357495881383
3.0,2006,2,475,-23.263327948303715
3.0,2006,3,636,33.89473684210526
3.0,2007,0,654,2.8301886792452833
3.0,2007,1,692,5.81039755351682
3.0,2007,2,668,-3.4682080924855487
3.0,2007,3,596,-10.778443113772456
3.0,2008,0,612,2.684563758389262
3.0,2008,1,571,-6.699346405228758
3.0,2008,2,556,-2.626970227670753
3.0,2008,3,535,-3.776978417266187
3.0,2009,0,680,27.102803738317753
3.0,2009,1,650,-4.411764705882353
3.0,2009,2,545,-16.153846153846153
3.0,2009,3,579,6.238532110091743
3.0,2010,0,590,1.8998272884283247
3.0,2010,1,593,0.5084745762711864
3.0,2010,2,614,3.541315345699832
3.0,2010,3,565,-7.980456026058631
3.0,2011,0,595,5.3097345132743365
3.0,2011,1,677,13.781512605042018
3.0,2011,2,577,-14.771048744460858
3.0,2011,3,581,0.6932409012131715
3.0,2012,0,746,28.399311531841654
3.0,2012,1,662,-11.26005361930295
3.0,2012,2,579,-12.537764350453173
3.0,2012,3,538,-7.081174438687392
3.0,2013,0,710,31.970260223048324
3.0,2013,1,613,-13.661971830985916
3.0,2013,2,643,4.893964110929853
3.0,2013,3,724,12.597200622083982
3.0,2014,0,755,4.281767955801105
3.0,2014,1,748,-0.9271523178807948
3.0,2014,2,608,-18.71657754010695
3.0,2014,3,710,16.776315789473685
3.0,2015,0,604,-14.929577464788732
3.0,2015,1,588,-2.6490066225165565
3.0,2015,2,653,11.054421768707483
3.0,2015,3,602,-7.810107197549771
3.0,2016,0,615,2.1594684385382057
3.0,2016,1,667,8.455284552845528
3.0,2016,2,624,-6.446776611694154
3.0,2016,3,609,-2.403846153846154
3.0,2017,0,600,-1.477832512315271
3.0,2017,1,639,6.5
3.0,2017,2,565,-11.580594679186229
3.0,2017,3,609,7.787610619469026
3.0,2018,0,488,-19.868637110016422
3.0,2018,1,577,18.237704918032787
3.0,2018,2,617,6.932409012131716
3.0,2018,3,497,-19.448946515397083
3.0,2019,0,500,0.6036217303822937
3.0,2019,1,487,-2.6
3.0,2019,2,462,-5.133470225872689
3.0,2019,3,438,-5.194805194805195
3.0,2020,0,398,-9.1324200913242
3.0,2020,1,315,-20.85427135678392
3.0,2020,2,327,3.8095238095238098
3.0,2020,3,387,18.34862385321101
3.0,2021,0,363,-6.2015503875969
3.0,2021,1,314,-13.498622589531681
3.0,2021,2,405,28.980891719745223
3.0,2021,3,406,0.24691358024691357
3.0,2022,0,416,2.4630541871921183
3.0,2022,1,577,38.70192307692308
3.0,2022,2,529,-8.31889081455806
3.0,2022,3,447,-15.500945179584122
3.0,2023,0,506,13.19910514541387
3.0,2023,1,609,20.35573122529644
5.0,2006,0,6917,
5.0,2006,1,7248,4.785311551250542
5.0,2006,2,7078,-2.345474613686534
5.0,2006,3,6748,-4.662333992653292
5.0,2007,0,7575,12.255483106105512
