Police_Precinct,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
1.0,2006,4508,
1.0,2007,5190,15.128660159716059
1.0,2008,5506,6.088631984585742
1.0,2009,5761,4.631311296767163
1.0,2010,5641,-2.0829717063009894
1.0,2011,6033,6.949122496011345
1.0,2012,6126,1.5415216310293387
1.0,2013,5275,-13.891609533137448
1.0,2014,4753,-9.895734597156398
1.0,2015,4314,-9.236271828318957
1.0,2016,4140,-4.033379694019471
1.0,2017,3391,-18.091787439613526
1.0,2018,3054,-9.938071365378946
1.0,2019,2916,-4.518664047151278
1.0,2020,1550,-46.844993141289436
1.0,2021,1837,18.516129032258064
1.0,2022,2356,28.252585737615675
1.0,2023,1187,-49.61799660441426
5.0,2006,4558,
5.0,2007,4649,1.9964896884598509
5.0,2008,4820,3.6782103678210367
5.0,2009,5148,6.804979253112033
5.0,2010,5216,1.320901320901321
5.0,2011,5039,-3.39340490797546
5.0,2012,5120,1.6074617979757888
5.0,2013,5481,7.05078125
5.0,2014,5595,2.079912424740011
5.0,2015,4994,-10.741733690795353
5.0,2016,4915,-1.5818982779335202
5.0,2017,4702,-4.333672431332655
5.0,2018,4234,-9.953211399404509
5.0,2019,3786,-10.581010864430798
5.0,2020,2035,-46.24933967247755
5.0,2021,2322,14.103194103194102
5.0,2022,2865,23.385012919896642
5.0,2023,1593,-44.397905759162306
6.0,2006,3725,
6.0,2007,4318,15.919463087248323
6.0,2008,4287,-0.7179249652616952
6.0,2009,4632,8.047585724282715
6.0,2010,4221,-8.873056994818652
6.0,2011,4418,4.667140488036011
6.0,2012,3769,-14.689904934359438
6.0,2013,3948,4.749270363491642
6.0,2014,3897,-1.2917933130699089
6.0,2015,3083,-20.887862458301257
6.0,2016,2406,-21.959130716834252
6.0,2017,2725,13.258520365752286
6.0,2018,2335,-14.311926605504588
6.0,2019,2027,-13.190578158458244
6.0,2020,1751,-13.616181549087322
6.0,2021,1343,-23.300970873786408
6.0,2022,1753,30.52866716306776
6.0,2023,1105,-36.96520250998289
7.0,2006,2927,
7.0,2007,3319,13.392552101127434
7.0,2008,2892,-12.865320879783068
7.0,2009,3180,9.95850622406639
7.0,2010,3391,6.635220125786163
7.0,2011,3537,4.305514597463874
7.0,2012,3604,1.894260672886627
7.0,2013,3367,-6.576026637069922
7.0,2014,3090,-8.226908226908227
7.0,2015,3280,6.148867313915858
7.0,2016,2853,-13.01829268292683
7.0,2017,2704,-5.222572730459166
7.0,2018,2307,-14.681952662721892
7.0,2019,2067,-10.403120936280883
7.0,2020,1256,-39.23560716013546
7.0,2021,1580,25.796178343949045
7.0,2022,2048,29.620253164556964
7.0,2023,965,-52.880859375
9.0,2006,3810,
9.0,2007,3873,1.6535433070866141
9.0,2008,3796,-1.9881229021430418
9.0,2009,3977,4.768177028451001
9.0,2010,4249,6.839326125220015
9.0,2011,4327,1.8357260531889856
9.0,2012,4489,3.743933441183268
9.0,2013,4022,-10.403207841390065
9.0,2014,3714,-7.65788165091994
9.0,2015,3493,-5.9504577275175015
9.0,2016,3300,-5.525336387059833
9.0,2017,2720,-17.575757575757574
9.0,2018,2214,-18.602941176470587
9.0,2019,1849,-16.485998193315265
9.0,2020,1166,-36.938885884261765
9.0,2021,1636,40.308747855917666
9.0,2022,1889,15.464547677261614
9.0,2023,1014,-46.3208046585495
10.0,2006,4239,
10.0,2007,3717,-12.314225053078557
10.0,2008,4149,11.62227602905569
10.0,2009,3955,-4.675825500120511
10.0,2010,3670,-7.206068268015171
10.0,2011,3588,-2.23433242506812
10.0,2012,3607,0.5295429208472687
10.0,2013,4396,21.874133629054615
10.0,2014,4186,-4.777070063694268
10.0,2015,4037,-3.559483994266603
10.0,2016,3441,-14.763438196680703
10.0,2017,2810,-18.33769253124092
10.0,2018,2355,-16.19217081850534
10.0,2019,2173,-7.7282377919320595
10.0,2020,1355,-37.64381040036815
10.0,2021,1610,18.81918819188192
10.0,2022,1635,1.5527950310559007
10.0,2023,855,-47.706422018348626
13.0,2006,4218,
13.0,2007,4727,12.067330488383119
13.0,2008,4719,-0.16924053310767928
13.0,2009,5087,7.798262343716889
13.0,2010,5589,9.86829172400236
13.0,2011,6488,16.085167292896763
13.0,2012,6119,-5.687422934648581
13.0,2013,6291,2.81091681647328
13.0,2014,6172,-1.8915911619774282
13.0,2015,6466,4.763447828904731
13.0,2016,4769,-26.244973708629754
13.0,2017,4247,-10.945690920528413
13.0,2018,3312,-22.015540381445724
13.0,2019,2768,-16.425120772946862
13.0,2020,1776,-35.83815028901734
13.0,2021,2055,15.70945945945946
13.0,2022,2845,38.44282238442822
13.0,2023,1350,-52.54833040421792
14.0,2006,13511,
14.0,2007,14206,5.143956775960329
14.0,2008,13897,-2.1751372659439676
14.0,2009,14772,6.2963229473987194
14.0,2010,15200,2.8973734091524506
14.0,2011,13588,-10.605263157894736
14.0,2012,13082,-3.723874006476303
14.0,2013,14233,8.798348876318606
14.0,2014,14629,2.782266563619757
14.0,2015,12701,-13.179301387654657
14.0,2016,11062,-12.904495708999292
14.0,2017,9586,-13.342975953715422
14.0,2018,7955,-17.014395994158146
14.0,2019,5917,-25.619107479572595
14.0,2020,2978,-49.67044110190975
14.0,2021,4719,58.462055070517124
14.0,2022,6006,27.27272727272727
14.0,2023,3724,-37.995337995338
17.0,2006,1674,
17.0,2007,1802,7.646356033452808
17.0,2008,1607,-10.821309655937847
17.0,2009,1632,1.5556938394523958
17.0,2010,1578,-3.308823529411765
17.0,2011,1572,-0.38022813688212925
17.0,2012,1714,9.033078880407125
17.0,2013,1695,-1.1085180863477246
17.0,2014,1624,-4.188790560471976
17.0,2015,1253,-22.844827586206897
17.0,2016,1375,9.7366320830008
17.0,2017,1517,10.327272727272726
17.0,2018,1441,-5.009887936717205
17.0,2019,1345,-6.662040249826509
17.0,2020,847,-37.026022304832715
17.0,2021,881,4.014167650531287
17.0,2022,896,1.70261066969353
17.0,2023,464,-48.214285714285715
18.0,2006,4844,
18.0,2007,5123,5.759702725020644
18.0,2008,4922,-3.9234823345695884
18.0,2009,5489,11.519707436001625
18.0,2010,5609,2.18619056294407
18.0,2011,5831,3.9579247637725086
18.0,2012,5452,-6.499742754244554
18.0,2013,5730,5.099046221570066
18.0,2014,6310,10.12216404886562
18.0,2015,5382,-14.706814580031697
18.0,2016,4792,-10.962467484206615
18.0,2017,4973,3.777128547579299
18.0,2018,3935,-20.872712648300826
18.0,2019,3129,-20.48284625158831
18.0,2020,1891,-39.565356343879834
18.0,2021,2477,30.988894764674775
18.0,2022,2957,19.378280177634235
18.0,2023,1674,-43.388569496110925
