State_Assembly_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
23.0,2006,0,878,
23.0,2006,1,893,1.7084282460136675
23.0,2006,2,907,1.5677491601343785
23.0,2006,3,818,-9.812568908489526
23.0,2007,0,961,17.48166259168704
23.0,2007,1,963,0.20811654526534862
23.0,2007,2,921,-4.361370716510903
23.0,2007,3,782,-15.092290988056462
23.0,2008,0,793,1.4066496163682864
23.0,2008,1,935,17.90668348045397
23.0,2008,2,989,5.775401069518717
23.0,2008,3,799,-19.211324570273003
23.0,2009,0,910,13.892365456821027
23.0,2009,1,998,9.670329670329672
23.0,2009,2,1059,6.112224448897796
23.0,2009,3,859,-18.885741265344667
23.0,2010,0,1038,20.838183934807915
23.0,2010,1,1058,1.9267822736030826
23.0,2010,2,1087,2.7410207939508506
23.0,2010,3,871,-19.871205151793927
23.0,2011,0,936,7.462686567164178
23.0,2011,1,1029,9.935897435897436
23.0,2011,2,988,-3.9844509232264333
23.0,2011,3,825,-16.497975708502025
23.0,2012,0,1002,21.454545454545453
23.0,2012,1,1109,10.67864271457086
23.0,2012,2,1070,-3.5166816952209197
23.0,2012,3,681,-36.35514018691588
23.0,2013,0,970,42.437591776798826
23.0,2013,1,1118,15.257731958762887
23.0,2013,2,1023,-8.49731663685152
23.0,2013,3,956,-6.549364613880742
23.0,2014,0,1023,7.00836820083682
23.0,2014,1,1104,7.9178885630498534
23.0,2014,2,1233,11.684782608695652
23.0,2014,3,853,-30.8191403081914
23.0,2015,0,772,-9.495896834701055
23.0,2015,1,921,19.300518134715023
23.0,2015,2,1140,23.778501628664493
23.0,2015,3,906,-20.526315789473685
23.0,2016,0,879,-2.980132450331126
23.0,2016,1,931,5.915813424345847
23.0,2016,2,890,-4.403866809881848
23.0,2016,3,821,-7.752808988764046
23.0,2017,0,850,3.5322777101096223
23.0,2017,1,838,-1.411764705882353
23.0,2017,2,802,-4.295942720763723
23.0,2017,3,747,-6.857855361596011
23.0,2018,0,862,15.39491298527443
23.0,2018,1,700,-18.793503480278424
23.0,2018,2,782,11.714285714285715
23.0,2018,3,691,-11.636828644501279
23.0,2019,0,673,-2.6049204052098407
23.0,2019,1,719,6.8350668647845465
23.0,2019,2,739,2.781641168289291
23.0,2019,3,566,-23.410013531799727
23.0,2020,0,531,-6.18374558303887
23.0,2020,1,450,-15.254237288135593
23.0,2020,2,346,-23.11111111111111
23.0,2020,3,462,33.52601156069364
23.0,2021,0,474,2.5974025974025974
23.0,2021,1,421,-11.181434599156118
23.0,2021,2,450,6.88836104513064
23.0,2021,3,436,-3.111111111111111
23.0,2022,0,493,13.073394495412844
23.0,2022,1,567,15.010141987829615
23.0,2022,2,596,5.114638447971781
23.0,2022,3,562,-5.704697986577181
23.0,2023,0,594,5.6939501779359425
23.0,2023,1,629,5.892255892255893
24.0,2006,0,988,
24.0,2006,1,1049,6.174089068825911
24.0,2006,2,968,-7.721639656816015
24.0,2006,3,1059,9.400826446280993
24.0,2007,0,1222,15.3918791312559
24.0,2007,1,1177,-3.6824877250409163
24.0,2007,2,1071,-9.005947323704333
24.0,2007,3,1078,0.6535947712418301
24.0,2008,0,1191,10.482374768089054
24.0,2008,1,1085,-8.900083963056256
24.0,2008,2,989,-8.847926267281107
24.0,2008,3,1032,4.3478260869565215
24.0,2009,0,1047,1.4534883720930232
24.0,2009,1,1023,-2.292263610315186
24.0,2009,2,905,-11.534701857282501
24.0,2009,3,936,3.4254143646408837
24.0,2010,0,1019,8.867521367521368
24.0,2010,1,1002,-1.6683022571148183
24.0,2010,2,1006,0.39920159680638717
24.0,2010,3,963,-4.274353876739562
24.0,2011,0,954,-0.9345794392523363
