State_Senate_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
10.0,2006,0,2823,
10.0,2006,1,2897,2.6213248317392845
10.0,2006,2,2938,1.4152571625819814
10.0,2006,3,2763,-5.95643294758339
10.0,2007,0,3097,12.088309808179515
10.0,2007,1,3057,-1.2915724895059735
10.0,2007,2,3451,12.888452731436049
10.0,2007,3,2928,-15.15502752825268
10.0,2008,0,3067,4.747267759562841
10.0,2008,1,3210,4.662536680795566
10.0,2008,2,3371,5.015576323987539
10.0,2008,3,2985,-11.450608128151883
10.0,2009,0,3222,7.939698492462312
10.0,2009,1,3385,5.058969584109249
10.0,2009,2,3804,12.378138847858198
10.0,2009,3,3145,-17.32386961093586
10.0,2010,0,3107,-1.208267090620032
10.0,2010,1,3301,6.243965239781139
10.0,2010,2,3071,-6.967585580127233
10.0,2010,3,2554,-16.83490719635298
10.0,2011,0,2796,9.475332811276429
10.0,2011,1,3161,13.054363376251787
10.0,2011,2,3037,-3.9228092375830435
10.0,2011,3,2834,-6.684227856437273
10.0,2012,0,3261,15.067043048694426
10.0,2012,1,3329,2.0852499233364
10.0,2012,2,3316,-0.39050765995794534
10.0,2012,3,2362,-28.76960193003619
10.0,2013,0,3164,33.95427603725656
10.0,2013,1,3600,13.780025284450062
10.0,2013,2,3520,-2.2222222222222223
10.0,2013,3,3460,-1.7045454545454544
10.0,2014,0,3764,8.786127167630058
10.0,2014,1,3875,2.948990435706695
10.0,2014,2,4331,11.76774193548387
10.0,2014,3,3229,-25.444470099284228
10.0,2015,0,2961,-8.299783214617529
10.0,2015,1,3178,7.328605200945626
10.0,2015,2,3398,6.922592825676527
10.0,2015,3,2716,-20.070629782224838
10.0,2016,0,2875,5.8541973490427095
10.0,2016,1,3036,5.6000000000000005
10.0,2016,2,2910,-4.150197628458498
10.0,2016,3,2699,-7.2508591065292105
10.0,2017,0,2837,5.11300481659874
10.0,2017,1,2825,-0.42298202326401124
10.0,2017,2,2561,-9.345132743362832
10.0,2017,3,2630,2.694260054666146
