Zipcode,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
83.0,2006,0,192,
83.0,2006,1,254,32.29166666666667
83.0,2006,2,179,-29.527559055118108
83.0,2006,3,149,-16.75977653631285
83.0,2007,0,181,21.476510067114095
83.0,2007,1,284,56.9060773480663
83.0,2007,2,238,-16.19718309859155
83.0,2007,3,158,-33.61344537815126
83.0,2008,0,194,22.78481012658228
83.0,2008,1,224,15.463917525773196
83.0,2008,2,296,32.142857142857146
83.0,2008,3,197,-33.44594594594595
83.0,2009,0,193,-2.030456852791878
83.0,2009,1,225,16.580310880829018
83.0,2009,2,257,14.222222222222221
83.0,2009,3,152,-40.856031128404666
83.0,2010,0,197,29.605263157894733
83.0,2010,1,230,16.751269035532996
83.0,2010,2,319,38.69565217391304
83.0,2010,3,203,-36.36363636363637
83.0,2011,0,166,-18.226600985221676
83.0,2011,1,250,50.602409638554214
83.0,2011,2,229,-8.4
83.0,2011,3,200,-12.663755458515283
83.0,2012,0,172,-14.000000000000002
83.0,2012,1,235,36.627906976744185
83.0,2012,2,219,-6.808510638297872
83.0,2012,3,157,-28.31050228310502
83.0,2013,0,105,-33.12101910828025
83.0,2013,1,221,110.47619047619048
83.0,2013,2,217,-1.809954751131222
83.0,2013,3,131,-39.63133640552996
83.0,2014,0,85,-35.11450381679389
83.0,2014,1,242,184.7058823529412
83.0,2014,2,190,-21.487603305785125
83.0,2014,3,78,-58.94736842105262
83.0,2015,0,48,-38.46153846153847
83.0,2015,1,210,337.5
83.0,2015,2,205,-2.380952380952381
83.0,2015,3,130,-36.58536585365854
83.0,2016,0,94,-27.692307692307693
83.0,2016,1,113,20.212765957446805
83.0,2016,2,103,-8.849557522123893
83.0,2016,3,65,-36.89320388349515
83.0,2017,0,76,16.923076923076923
83.0,2017,1,103,35.526315789473685
83.0,2017,2,92,-10.679611650485436
83.0,2017,3,74,-19.565217391304348
83.0,2018,0,54,-27.027027027027028
83.0,2018,1,68,25.925925925925924
83.0,2018,2,71,4.411764705882353
83.0,2018,3,29,-59.154929577464785
83.0,2019,0,24,-17.24137931034483
83.0,2019,1,53,120.83333333333333
83.0,2019,2,78,47.16981132075472
83.0,2019,3,24,-69.23076923076923
83.0,2020,0,23,-4.166666666666666
83.0,2020,1,13,-43.47826086956522
83.0,2020,2,20,53.84615384615385
83.0,2020,3,20,0.0
83.0,2021,0,21,5.0
83.0,2021,1,31,47.61904761904761
83.0,2021,2,29,-6.451612903225806
83.0,2021,3,23,-20.689655172413794
83.0,2022,0,23,0.0
83.0,2022,1,32,39.130434782608695
83.0,2022,2,76,137.5
83.0,2022,3,55,-27.631578947368425
83.0,2023,0,30,-45.45454545454545
83.0,2023,1,41,36.666666666666664
10001.0,2006,0,1752,
10001.0,2006,1,1782,1.7123287671232876
10001.0,2006,2,1912,7.295173961840629
10001.0,2006,3,1849,-3.2949790794979084
10001.0,2007,0,2156,16.60356949702542
10001.0,2007,1,1870,-13.26530612244898
10001.0,2007,2,1611,-13.850267379679144
10001.0,2007,3,1729,7.324643078833024
10001.0,2008,0,1825,5.552342394447658
10001.0,2008,1,1712,-6.191780821917808
10001.0,2008,2,1834,7.1261682242990645
10001.0,2008,3,2004,9.269356597600872
10001.0,2009,0,2104,4.990019960079841
10001.0,2009,1,1924,-8.555133079847907
10001.0,2009,2,1991,3.4823284823284824
10001.0,2009,3,2262,13.611250627825214
10001.0,2010,0,2233,-1.282051282051282
10001.0,2010,1,2075,-7.075682937751903
10001.0,2010,2,1978,-4.674698795180722
10001.0,2010,3,2130,7.684529828109202
10001.0,2011,0,1971,-7.464788732394366
10001.0,2011,1,1860,-5.6316590563165905
10001.0,2011,2,1722,-7.419354838709677
10001.0,2011,3,2000,16.144018583042975
10001.0,2012,0,1824,-8.799999999999999
10001.0,2012,1,1661,-8.93640350877193
10001.0,2012,2,1616,-2.7092113184828417
10001.0,2012,3,1831,13.304455445544555
10001.0,2013,0,2002,9.339158929546695
10001.0,2013,1,1751,-12.537462537462538
10001.0,2013,2,1678,-4.169046259280411
10001.0,2013,3,2071,23.420738974970202
10001.0,2014,0,1937,-6.470304200869145
10001.0,2014,1,1857,-4.130098089829634
10001.0,2014,2,1694,-8.777598276790522
10001.0,2014,3,1506,-11.097992916174734
10001.0,2015,0,1792,18.99070385126162
10001.0,2015,1,1489,-16.908482142857142
10001.0,2015,2,1469,-1.3431833445265278
10001.0,2015,3,1581,7.624234172906739
10001.0,2016,0,1473,-6.83111954459203
10001.0,2016,1,1147,-22.131704005431093
10001.0,2016,2,1068,-6.887532693984307
10001.0,2016,3,1113,4.213483146067416
10001.0,2017,0,1064,-4.40251572327044
10001.0,2017,1,994,-6.578947368421052
10001.0,2017,2,995,0.1006036217303823
10001.0,2017,3,1016,2.1105527638190953
10001.0,2018,0,1053,3.6417322834645667
10001.0,2018,1,905,-14.055080721747387
10001.0,2018,2,893,-1.3259668508287292
10001.0,2018,3,939,5.1511758118701
10001.0,2019,0,928,-1.1714589989350372
10001.0,2019,1,719,-22.521551724137932
10001.0,2019,2,697,-3.05980528511822
10001.0,2019,3,708,1.5781922525107603
10001.0,2020,0,607,-14.26553672316384
10001.0,2020,1,270,-55.51894563426688
10001.0,2020,2,269,-0.3703703703703704
10001.0,2020,3,393,46.09665427509294
10001.0,2021,0,444,12.977099236641221
10001.0,2021,1,441,-0.6756756756756757
10001.0,2021,2,522,18.367346938775512
10001.0,2021,3,725,38.88888888888889
10001.0,2022,0,588,-18.89655172413793
10001.0,2022,1,700,19.047619047619047
10001.0,2022,2,652,-6.857142857142858
10001.0,2022,3,707,8.43558282208589
10001.0,2023,0,766,8.345120226308344
10001.0,2023,1,938,22.45430809399478
10002.0,2006,0,1039,
10002.0,2006,1,1071,3.079884504331088
10002.0,2006,2,1058,-1.2138188608776845
10002.0,2006,3,920,-13.043478260869565
10002.0,2007,0,1037,12.717391304347824
10002.0,2007,1,1135,9.450337512054002
10002.0,2007,2,1226,8.01762114537445
10002.0,2007,3,1023,-16.557911908646002
10002.0,2008,0,999,-2.346041055718475
10002.0,2008,1,1043,4.404404404404405
10002.0,2008,2,1002,-3.9309683604985617
10002.0,2008,3,1016,1.3972055888223553
10002.0,2009,0,1120,10.236220472440944
10002.0,2009,1,1099,-1.875
10002.0,2009,2,1148,4.45859872611465
10002.0,2009,3,1009,-12.10801393728223
10002.0,2010,0,1175,16.45193260654113
10002.0,2010,1,1301,10.72340425531915
10002.0,2010,2,1150,-11.606456571867794
10002.0,2010,3,1136,-1.2173913043478262
10002.0,2011,0,1109,-2.3767605633802815
10002.0,2011,1,1398,26.0595130748422
10002.0,2011,2,1178,-15.736766809728184
10002.0,2011,3,1147,-2.631578947368421
10002.0,2012,0,1231,7.323452484742806
10002.0,2012,1,1306,6.092607636068237
10002.0,2012,2,1409,7.8866768759571215
10002.0,2012,3,1074,-23.775727466288146
10002.0,2013,0,1259,17.225325884543764
10002.0,2013,1,1363,8.260524225575853
10002.0,2013,2,1289,-5.429200293470286
10002.0,2013,3,1039,-19.39487975174554
10002.0,2014,0,1076,3.5611164581328203
10002.0,2014,1,1249,16.07806691449814
10002.0,2014,2,1237,-0.9607686148919135
10002.0,2014,3,938,-24.171382376717865
10002.0,2015,0,1014,8.102345415778252
10002.0,2015,1,1111,9.566074950690336
10002.0,2015,2,1285,15.661566156615661
10002.0,2015,3,1009,-21.47859922178988
10002.0,2016,0,939,-6.937561942517344
10002.0,2016,1,1007,7.24174653887114
10002.0,2016,2,899,-10.724925521350546
10002.0,2016,3,889,-1.1123470522803114
10002.0,2017,0,1015,14.173228346456693
10002.0,2017,1,897,-11.625615763546799
10002.0,2017,2,845,-5.797101449275362
10002.0,2017,3,743,-12.071005917159763
10002.0,2018,0,885,19.11170928667564
10002.0,2018,1,707,-20.112994350282488
10002.0,2018,2,603,-14.71004243281471
10002.0,2018,3,618,2.4875621890547266
10002.0,2019,0,744,20.388349514563107
10002.0,2019,1,644,-13.440860215053762
10002.0,2019,2,635,-1.3975155279503106
10002.0,2019,3,514,-19.055118110236222
10002.0,2020,0,524,1.9455252918287937
10002.0,2020,1,353,-32.63358778625955
10002.0,2020,2,277,-21.529745042492916
10002.0,2020,3,332,19.855595667870034
10002.0,2021,0,432,30.120481927710845
10002.0,2021,1,431,-0.23148148148148145
10002.0,2021,2,422,-2.088167053364269
10002.0,2021,3,580,37.44075829383886
10002.0,2022,0,585,0.8620689655172413
10002.0,2022,1,539,-7.863247863247863
10002.0,2022,2,637,18.181818181818183
10002.0,2022,3,581,-8.791208791208792
10002.0,2023,0,522,-10.154905335628227
10002.0,2023,1,622,19.157088122605366
10003.0,2006,0,669,
10003.0,2006,1,692,3.43796711509716
10003.0,2006,2,696,0.5780346820809248
10003.0,2006,3,648,-6.896551724137931
10003.0,2007,0,750,15.74074074074074
10003.0,2007,1,730,-2.666666666666667
10003.0,2007,2,751,2.8767123287671232
10003.0,2007,3,732,-2.5299600532623168
10003.0,2008,0,824,12.568306010928962
10003.0,2008,1,776,-5.825242718446602
10003.0,2008,2,863,11.211340206185568
10003.0,2008,3,852,-1.2746234067207416
10003.0,2009,0,976,14.553990610328638
10003.0,2009,1,976,0.0
10003.0,2009,2,1028,5.327868852459016
10003.0,2009,3,948,-7.782101167315175
10003.0,2010,0,1125,18.670886075949365
10003.0,2010,1,1313,16.71111111111111
10003.0,2010,2,1227,-6.549885757806551
10003.0,2010,3,1141,-7.008964955175225
10003.0,2011,0,1296,13.584574934268186
10003.0,2011,1,1613,24.459876543209877
10003.0,2011,2,1260,-21.884686918784872
10003.0,2011,3,1133,-10.079365079365079
10003.0,2012,0,1277,12.709620476610766
10003.0,2012,1,1257,-1.5661707126076743
10003.0,2012,2,1127,-10.342084327764518
10003.0,2012,3,1014,-10.02661934338953
10003.0,2013,0,1094,7.889546351084813
10003.0,2013,1,1024,-6.39853747714808
10003.0,2013,2,971,-5.17578125
10003.0,2013,3,955,-1.6477857878475797
10003.0,2014,0,990,3.664921465968586
10003.0,2014,1,957,-3.3333333333333335
10003.0,2014,2,937,-2.089864158829676
10003.0,2014,3,823,-12.16648879402348
10003.0,2015,0,887,7.7764277035236935
10003.0,2015,1,903,1.8038331454340473
10003.0,2015,2,876,-2.990033222591362
10003.0,2015,3,897,2.3972602739726026
10003.0,2016,0,802,-10.590858416945373
10003.0,2016,1,698,-12.967581047381547
10003.0,2016,2,684,-2.005730659025788
10003.0,2016,3,712,4.093567251461988
10003.0,2017,0,592,-16.853932584269664
10003.0,2017,1,680,14.864864864864865
10003.0,2017,2,695,2.2058823529411766
10003.0,2017,3,668,-3.884892086330935
10003.0,2018,0,614,-8.08383233532934
10003.0,2018,1,586,-4.5602605863192185
10003.0,2018,2,527,-10.06825938566553
10003.0,2018,3,494,-6.261859582542694
10003.0,2019,0,454,-8.097165991902834
10003.0,2019,1,486,7.048458149779736
10003.0,2019,2,474,-2.4691358024691357
10003.0,2019,3,377,-20.464135021097047
10003.0,2020,0,392,3.978779840848806
10003.0,2020,1,270,-31.122448979591837
10003.0,2020,2,214,-20.74074074074074
10003.0,2020,3,284,32.71028037383177
10003.0,2021,0,267,-5.985915492957746
